date,sales,cluster
2013-01-01,0.0,Cluster 0
2013-01-02,2441.508,Cluster 0
2013-01-03,2589.699001,Cluster 0
2013-01-04,2705.5009959999998,Cluster 0
2013-01-05,2623.645,Cluster 0
2013-01-06,2626.7469965,Cluster 0
2013-01-07,2338.176,Cluster 0
2013-01-08,1983.456,Cluster 0
2013-01-09,1771.796998,Cluster 0
2013-01-10,2045.384,Cluster 0
2013-01-11,2347.323,Cluster 0
2013-01-12,2581.3040020000003,Cluster 0
2013-01-13,2569.8070000000002,Cluster 0
2013-01-14,2015.1789979999999,Cluster 0
2013-01-15,2097.696,Cluster 0
2013-01-16,1832.261,Cluster 0
2013-01-17,2225.467,Cluster 0
2013-01-18,2181.531,Cluster 0
2013-01-19,2910.74,Cluster 0
2013-01-20,2954.92,Cluster 0
2013-01-21,1993.901,Cluster 0
2013-01-22,1793.422997,Cluster 0
2013-01-23,1451.785,Cluster 0
2013-01-24,2180.578,Cluster 0
2013-01-25,2308.419,Cluster 0
2013-01-26,2655.071004,Cluster 0
2013-01-27,2507.536,Cluster 0
2013-01-28,2066.206,Cluster 0
2013-01-29,2156.642,Cluster 0
2013-01-30,1606.91,Cluster 0
2013-01-31,2456.142004,Cluster 0
2013-02-01,3121.89,Cluster 0
2013-02-02,4242.417,Cluster 0
2013-02-03,3234.934,Cluster 0
2013-02-04,2481.985998,Cluster 0
2013-02-05,2162.996003,Cluster 0
2013-02-06,1792.714,Cluster 0
2013-02-07,2308.897996,Cluster 0
2013-02-08,2414.487,Cluster 0
2013-02-09,3547.277,Cluster 0
2013-02-10,2284.993,Cluster 0
2013-02-11,1854.444,Cluster 0
2013-02-12,1931.666,Cluster 0
2013-02-13,2140.903005,Cluster 0
2013-02-14,2194.638,Cluster 0
2013-02-15,2288.856996,Cluster 0
2013-02-16,3793.596,Cluster 0
2013-02-17,2230.620005,Cluster 0
2013-02-18,2491.444996,Cluster 0
2013-02-19,2337.358002,Cluster 0
2013-02-20,2020.910002,Cluster 0
2013-02-21,2221.063,Cluster 0
2013-02-22,2275.204,Cluster 0
2013-02-23,2848.456,Cluster 0
2013-02-24,2450.574993,Cluster 0
2013-02-25,2100.569,Cluster 0
2013-02-26,1833.288002,Cluster 0
2013-02-27,1915.819,Cluster 0
2013-02-28,3551.943,Cluster 0
2013-03-01,3107.511,Cluster 0
2013-03-02,3653.051,Cluster 0
2013-03-03,3428.783996,Cluster 0
2013-03-04,2762.824,Cluster 0
2013-03-05,2583.875,Cluster 0
2013-03-06,2128.847,Cluster 0
2013-03-07,2358.511,Cluster 0
2013-03-08,2694.461,Cluster 0
2013-03-09,3071.929,Cluster 0
2013-03-10,2349.474,Cluster 0
2013-03-11,2320.238,Cluster 0
2013-03-12,1850.393,Cluster 0
2013-03-13,1708.651,Cluster 0
2013-03-14,1816.6680000000001,Cluster 0
2013-03-15,3496.648,Cluster 0
2013-03-16,3598.478,Cluster 0
2013-03-17,3712.357996,Cluster 0
2013-03-18,2690.918,Cluster 0
2013-03-19,2338.689,Cluster 0
2013-03-20,2430.542,Cluster 0
2013-03-21,2375.727,Cluster 0
2013-03-22,2318.933,Cluster 0
2013-03-23,2813.732,Cluster 0
2013-03-24,2475.62,Cluster 0
2013-03-25,2235.004,Cluster 0
2013-03-26,2563.7999959999997,Cluster 0
2013-03-27,2008.445,Cluster 0
2013-03-28,2715.696,Cluster 0
2013-03-29,2978.348,Cluster 0
2013-03-30,3097.2,Cluster 0
2013-03-31,2887.928,Cluster 0
2013-04-01,2728.617,Cluster 0
2013-04-02,3056.266,Cluster 0
2013-04-03,2229.741,Cluster 0
2013-04-04,2793.692,Cluster 0
2013-04-05,2246.311,Cluster 0
2013-04-06,2994.305,Cluster 0
2013-04-07,2870.217004,Cluster 0
2013-04-08,2660.101,Cluster 0
2013-04-09,2215.04,Cluster 0
2013-04-10,1736.377999,Cluster 0
2013-04-11,2538.968,Cluster 0
2013-04-12,2692.504,Cluster 0
2013-04-13,3277.7309999999998,Cluster 0
2013-04-14,3031.518,Cluster 0
2013-04-15,2310.995,Cluster 0
2013-04-16,2877.745,Cluster 0
2013-04-17,2415.479004,Cluster 0
2013-04-18,2293.479,Cluster 0
2013-04-19,2977.15,Cluster 0
2013-04-20,2836.117,Cluster 0
2013-04-21,2925.025,Cluster 0
2013-04-22,2188.608,Cluster 0
2013-04-23,2198.458,Cluster 0
2013-04-24,1977.409,Cluster 0
2013-04-25,1793.528004,Cluster 0
2013-04-26,2083.027,Cluster 0
2013-04-27,2506.657,Cluster 0
2013-04-28,2719.138996,Cluster 0
2013-04-29,2340.318997,Cluster 0
2013-04-30,2455.636004,Cluster 0
2013-05-01,2824.687,Cluster 0
2013-05-02,2561.973,Cluster 0
2013-05-03,2758.524,Cluster 0
2013-05-04,3544.658,Cluster 0
2013-05-05,4188.169,Cluster 0
2013-05-06,3330.651,Cluster 0
2013-05-07,2602.379,Cluster 0
2013-05-08,2087.82,Cluster 0
2013-05-09,2431.042,Cluster 0
2013-05-10,2701.471,Cluster 0
2013-05-11,3233.973,Cluster 0
