date,sales,onpromotion,oil_price,holiday,diff,Train_Forecast_Sarimax,Train_Forecast_prophet,train_Forecast_LSTM,train_Forecast_XGB,train_Forecast_RF
2013-01-09,302530.809018,0,93.08,0,-193561.608926,438141.92663554073,362176.40981956065,,334607.97,412681.14788246393
2013-01-10,258982.003049,0,93.81,0,-102479.228075,402795.9101159143,322453.55308643647,,334607.97,412629.5757630195
2013-01-11,289737.6850845,0,93.6,0,-64721.99200819997,392455.6912648484,338279.2390742505,,334607.97,412629.5757630195
2013-01-12,403258.2120105,0,93.76754698457222,1,-74091.90921849996,561593.8682319707,604158.8102078259,,334607.97,438451.3777141066
2013-01-13,464638.547998,0,94.10245301542776,0,-55056.85308999999,423916.4577039072,596113.4314643252,,334607.97,412629.5757630195
2013-01-14,293348.362078,0,94.27,0,-42774.43898800004,419358.42855748686,409961.1328414619,,334607.97,411668.2060873385
2013-01-15,299129.549954,0,93.26,0,-19218.22802700004,537120.536454608,354148.7896898185,,334607.97,419311.8601141394
2013-01-16,318347.913946,0,94.28,0,15817.104927999955,396562.2940104881,339046.17796894733,299709.46875,344933.9,411668.2060873385
2013-01-17,267498.5159755,0,95.49,0,8516.5129265,382703.12798580434,299823.62226558465,297751.0625,341797.78,401366.2179488814
2013-01-18,296130.850028,0,95.61,0,6393.164943500015,459341.17009131145,315879.38388032874,334498.8125,324508.34,401366.2179488814
2013-01-19,432459.852021,0,95.69002992332148,0,29201.640010499978,533375.6535826081,524381.5291324786,394818.90625,416064.94,403147.0146048346
2013-01-20,461092.386047,0,95.85,0,-3546.161950999988,393176.1546674738,572367.7101955186,422087.46875,478959.78,403147.0146048346
2013-01-21,311211.26595000003,0,96.00997007667851,0,17862.903872000054,370235.9975580529,385751.9596182514,350700.28125,324508.34,401318.45061933727
2013-01-22,296214.728983,0,96.09,0,-2914.8209710000083,448212.4074682609,331584.04827624466,325474.4375,339905.1,405653.7423059187
2013-01-23,283258.4530325,0,95.06,0,-35089.46091349999,364120.8125689879,311963.23722399987,312015.15625,363136.12,406140.8164976224
2013-01-24,247245.690995,0,95.35,0,-20252.82498049998,386271.1074076004,270391.7528808243,298400.0625,324508.34,401366.2179488814
2013-01-25,290022.77193,0,95.15,0,-6108.078098000027,505935.5485358518,285240.5917379069,336588.1875,325792.06,406751.7764562431
2013-01-26,413799.7679753,0,95.35005610098176,0,-18660.08404569997,581884.0515777237,493377.4883275923,405877.34375,454284.53,401366.2179488814
2013-01-27,430411.991233,0,95.74994389901823,0,-30680.394814,429295.3709865307,541232.1456583717,418939.53125,475912.0,403147.0146048346
2013-01-28,285460.169953,0,95.95,0,-25751.09599700005,398787.05204506096,354115.9020054737,347251.4375,344933.9,401318.45061933727
2013-01-29,264488.8180765,0,97.62,0,-31725.91090650001,464499.8565240665,302516.96981191717,303935.09375,325792.06,415768.7682424348
2013-01-30,281061.127052,0,97.98,0,-2197.325980499969,405814.02079257165,285149.04490860325,277487.15625,324508.34,433704.58240552904
2013-01-31,271254.217996,0,97.65,0,24008.52700100001,433730.23261398525,242013.81383818894,280707.40625,341797.78,415768.7682424348
2013-02-01,369402.055266,0,97.46,0,79379.283336,532243.7345833229,256664.71088214224,332249.34375,324508.34,412836.77792982047
2013-02-02,518887.462705,0,97.147412342216,0,105087.6947297,524776.4822241189,463753.441906506,409934.0625,454284.53,412836.77792982047
2013-02-03,486336.82018,0,96.522587657784,0,55924.82894699997,381439.5285408463,509762.4603675705,425974.1875,454284.53,412056.798490279
2013-02-04,344308.715017,0,96.21,0,58848.545064000005,362863.41043936345,322031.6111908065,347252.03125,324508.34,405653.7423059187
2013-02-05,321245.83913,0,96.68,0,56757.02105350001,383484.9246867332,268737.0799933221,309812.15625,324508.34,412056.798490279
2013-02-06,321538.177149,0,96.44,0,40477.05009699997,374732.4865558905,251128.29749515033,309641.6875,324508.34,409423.32166053745
2013-02-07,290807.530973,0,95.84,0,19553.312976999965,419460.5810729813,208699.88272661058,335652.34375,324508.34,403147.0146048346
2013-02-08,347441.789912,0,95.71,0,-21960.265353999977,488719.1309083751,225019.5045562903,403828.84375,406466.3,403147.0146048346
2013-02-09,416176.2790747,0,96.03509116409538,0,-102711.1836303,485841.4213152415,435230.13797167566,469497.5,513880.06,410668.0540548031
2013-02-10,300951.328993,0,96.68490883590462,0,-185385.491187,346948.4656788305,485931.2397849866,445905.65625,490037.28,412056.798490279
