date;sales;onpromotion;transactions;holiday;diff;Train_Forecast;Train_Forecast_prophet;train_Forecast_LSTM;train_Forecast_XGB;train_Forecast_RF
2013-01-09;302530.8;0.0;1564.5869565217392;0;-193561.6;169879.283044268;378251.94196157897;;334607.97;341377.9630086854
2013-01-10;258982.0;0.0;1443.108695652174;0;-102479.22;222357.1665675901;314098.9781459175;;334607.97;276639.65918388584
2013-01-11;289737.7;0.0;1529.0869565217392;0;-64722.0;327820.9508609918;344654.5697296552;;334607.97;337417.0776660595
2013-01-12;403258.22;0.0;1858.934782608696;1;-74091.91;383137.52904132905;583375.2293280197;;334607.97;505809.4718132801
2013-01-13;464638.56;0.0;1876.217391304348;0;-55056.844;290672.5428686171;653256.3259619649;;334607.97;514407.5246935189
2013-01-14;293348.38;0.0;1523.4347826086955;0;-42774.438;229803.3418963632;412220.768580076;;334607.97;337417.0776660595
2013-01-15;299129.56;0.0;1546.391304347826;0;-19218.219;199240.1764350913;388894.7617322709;;334607.97;341377.9630086854
2013-01-16;318347.9;0.0;1575.4565217391305;0;15817.094;167026.9959487709;381511.8740854936;321986.46875;344933.9;348788.8548814927
2013-01-17;267498.53;0.0;1497.2391304347825;0;8516.531;236230.21938343224;326040.5630102599;321051.53125;341797.78;327194.175714123
2013-01-18;296130.84;0.0;1551.5434782608695;0;6393.1562;363064.6212516267;335317.3719092887;354252.3125;324508.34;341377.9630086854
2013-01-19;432459.84;0.0;1925.1739130434785;0;29201.625;387860.5591197647;553222.9870291338;399208.78125;416064.94;541180.0581505869
2013-01-20;461092.38;0.0;1853.934782608696;0;-3546.1875;258041.2346753089;610680.0280131036;389244.46875;478959.78;512687.94664408267
2013-01-21;311211.28;0.0;1592.391304347826;0;17862.906;253443.42922959293;400183.3370749904;320880.71875;324508.34;356913.9358087392
2013-01-22;296214.72;0.0;1499.7391304347825;0;-2914.8438;211760.0092747445;324306.7204090312;326334.875;339905.1;328341.1262708923
2013-01-23;283258.47;0.0;1517.804347826087;0;-35089.438;230455.343471799;307668.2714515398;332155.875;363136.12;333974.32868260064
2013-01-24;247245.69;0.0;1384.891304347826;0;-20252.844;290390.6339790527;226110.23666740465;328610.78125;324508.34;252441.4288189329
2013-01-25;290022.78;0.0;1549.4130434782608;0;-6108.0625;435991.2466260653;277098.4748484334;363115.5625;325792.06;341377.9630086854
2013-01-26;413799.78;0.0;1913.5217391304348;0;-18660.062;436100.6052217728;489045.0731170876;412647.6875;454284.53;543756.3273271626
2013-01-27;430412.0;0.0;1810.9565217391305;0;-30680.375;307078.4017599694;532575.7657236068;388606.4375;475912.0;489788.42465065257
2013-01-28;285460.16;0.0;1530.195652173913;0;-25751.125;323431.7783735943;313904.804001371;322227.65625;344933.9;337417.0776660595
2013-01-29;264488.8;0.0;1487.7173913043478;0;-31725.906;272476.72299527144;258791.87573159896;314996.09375;325792.06;326193.4696760948
2013-01-30;281061.12;0.0;1541.0434782608695;0;-2197.3438;260808.3203438828;257598.4654975421;311623.5625;324508.34;337417.0776660595
